site,Kingdom,Phylum,Class,Order,Family,Genus,Species
Site2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Pseudolabrys,Undetermined
Site3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Undetermined
Site3,Bacteria,Verrucomicrobia,Spartobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Undetermined,Undetermined,Undetermined
Site3,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Daejeonella,Undetermined
Site3,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Verrucomicrobia,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Undetermined
Site5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Undetermined,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,Undetermined
Site5,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Psychroglaciecola,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Undetermined
Site2,Bacteria,Acidobacteria,Acidobacteria_Gp3,Gp3,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site4,Bacteria,Acidobacteria,Acidobacteria_Gp7,Gp7,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranellaceae,Reyranella,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Undetermined,Undetermined
Site4,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Undetermined
Site2,Bacteria,Proteobacteria,Gammaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Acidibacter,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Undetermined,Undetermined
Site6,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Undetermined
Site6,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Planosporangium,Undetermined
Site1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Undetermined
Site5,Bacteria,Acidobacteria,Acidobacteria_Gp3,Candidatus_Solibacter,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Undetermined,Undetermined
Site5,Bacteria,Bacteroidetes,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Undetermined
Site2,Bacteria,Acidobacteria,Acidobacteria_Gp3,Candidatus_Solibacter,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Undetermined,Undetermined
Site1,Bacteria,Acidobacteria,Acidobacteria_Gp1,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Gammaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Undetermined,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Undetermined,Undetermined
Site3,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Undetermined
Site3,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Undetermined
Site3,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Segetibacter,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodoplanes,Undetermined
Site6,Bacteria,Verrucomicrobia,Spartobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Acidobacteria,Acidobacteria_Gp2,Gp2,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Betaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Undetermined
Site6,Bacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Acidobacteria,Acidobacteria_Gp3,Candidatus_Solibacter,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Undetermined
Site4,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinocrinis,Undetermined
Site4,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Sphingosinicella,Undetermined
Site5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Undetermined
Site5,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Couchioplanes,Undetermined
Site2,Bacteria,Acidobacteria,Acidobacteria_Gp2,Gp2,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Undetermined
Site1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Undetermined
Site1,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Acidobacteria,Acidobacteria_Gp4,Gp4,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Acidobacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Chloroflexi,Anaerolineae,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Undetermined
Site5,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,candidate_division_WPS-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,Undetermined
Site2,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Kribbellaceae,Kribbella,Undetermined
Site2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Reyranellaceae,Reyranella,Undetermined
Site2,Bacteria,Proteobacteria,Betaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Verrucomicrobia,Spartobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales_incertae_sedis,Aciditerrimonas,Undetermined
Site1,Bacteria,Proteobacteria,Gammaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Undetermined
Site4,Bacteria,Acidobacteria,Acidobacteria_Gp1,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site4,Bacteria,Proteobacteria,Gammaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Undetermined
Site3,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Arenimicrobiaceae,Brevitalea,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Undetermined
Site2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,Undetermined
Site2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Betaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,candidate_division_WPS-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,Undetermined
Site5,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Chryseolinea,Undetermined
Site1,Bacteria,Proteobacteria,Betaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Undetermined
Site6,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Undetermined,Undetermined
Site6,Bacteria,Acidobacteria,Acidobacteria_Gp1,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Thermoleophilia,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,Parviterribacter,Undetermined
Site6,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Undetermined,Undetermined
Site1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Undetermined
Site1,Bacteria,candidate_division_WPS-2,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Undetermined
Site1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site2,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Umezawaea,Undetermined
Site5,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Verrucomicrobia,Spartobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Other,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Undetermined
Site6,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas,Undetermined
Site6,Bacteria,Acidobacteria,Acidobacteria_Gp4,Gp4,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Undetermined,Undetermined
Site2,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Undetermined
Site2,Bacteria,candidate_division_WPS-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Undetermined
Site1,Bacteria,Verrucomicrobia,Subdivision3,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodopila,Undetermined
Site1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Undetermined
Site3,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Undetermined,Undetermined
Site3,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Undetermined,Undetermined
Site2,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Undetermined
Site5,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Parviterribacteraceae,Parviterribacter,Undetermined
Site5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Undetermined,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,Undetermined
Site5,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Undetermined
Site1,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Undetermined
Site1,Bacteria,Other,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,Undetermined
Site1,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Oleiharenicola,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Undetermined,Undetermined
Site2,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Undetermined,Undetermined
Site2,Bacteria,candidate_division_WPS-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Acidobacteria,Acidobacteria_Gp7,Gp7,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Undetermined
Site6,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Undetermined
Site4,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Actinobacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Kribbellaceae,Kribbella,Undetermined
Site2,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,candidate_division_WPS-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Undetermined
Site5,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,Undetermined
Site5,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,Undetermined
Site5,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Undetermined
Site5,Bacteria,Acidobacteria,Acidobacteria_Gp7,Gp7,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Undetermined
Site5,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Undetermined
Site1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Undetermined,Undetermined
Site1,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Acidibacter,Undetermined,Undetermined
Site2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Undetermined,Undetermined
Site2,Bacteria,Acidobacteria,Acidobacteria_Gp2,Gp2,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Chloroflexi,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Undetermined,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Undetermined,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Undetermined
Site3,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Undetermined
Site2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Undetermined,Undetermined
Site2,Bacteria,Acidobacteria,Acidobacteria_Gp2,Gp2,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Aetherobacter,Undetermined
Site5,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,candidate_division_WPS-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Acidobacteria,Acidobacteria_Gp2,Gp2,Undetermined,Undetermined,Undetermined
Site5,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Undetermined
Site4,Bacteria,Acidobacteria,Acidobacteria_Gp1,Undetermined,Undetermined,Undetermined,Undetermined
Site4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Undetermined
Site4,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Planosporangium,Undetermined
Site1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Undetermined
Site1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Undetermined,Undetermined,Undetermined
Site1,Bacteria,Actinobacteria,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Undetermined
Site2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Aetherobacter,Undetermined
Site2,Bacteria,candidate_division_WPS-1,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Undetermined
Site2,Bacteria,Acidobacteria,Acidobacteria_Gp4,Gp4,Undetermined,Undetermined,Undetermined
Site2,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Undetermined
Site2,Bacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Psychroglaciecola,Undetermined
Site6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Actinobacteria,Undetermined,Undetermined,Undetermined,Undetermined,Undetermined
Site6,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,Undetermined
