effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.6563371434028811,0.09051936248746599,7.250792817876535,52.173331716737124,1.935978843257037e-9
fixed,NA,mass,-0.3088935327768756,0.08866840889649971,-3.4836931960450404,72.45207545981147,8.42838290089317e-4
fixed,NA,droughtND,0.30620921621092767,0.1107729612365138,2.764295661981389,71.3159909369233,0.007254896839221861
fixed,NA,mass:droughtND,0.3238590585179587,0.09597184041817956,3.3745217045625333,72.43771015274953,0.0011908764738590978
ran_pars,block,sd__(Intercept),0.05524049477082204,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2260948564786122,NA,NA,NA,NA
