site,Kingdom,Phylum,Class,Order,Family,Genus,Species
Site1,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Undetermined
Site5,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Protomycetaceae,Saitoella,complicata
Site6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,diversispora
Site4,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,diversispora
Site5,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Warcupia,terrestris
Site2,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilopsis,albida
Site4,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Glutinomyces,Undetermined
Site6,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Undetermined
Site2,Fungi,Ascomycota,Leotiomycetes,Helotiales,Discinellaceae,Discinellaceae_gen_Incertae_sedis,Undetermined
Site6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,diversispora
Site6,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,cooperi
Site6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,canescens
Site3,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,carbonaria
Site4,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,dimorpha
Site2,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,dimorpha
Site5,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,dimorpha
Site6,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Undetermined
Site5,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Anthracobia,Undetermined
Site5,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,Undetermined
Site4,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,navarrae
Site1,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Undetermined
Site1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,Undetermined
