site,Kingdom,Phylum,Class,Order,Family,Genus,Species
Site1,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,etunicata
Site6,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,etunicata
Site2,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Parvocarpum,unclassified
Site4,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,etunicata
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,unclassified
Site5,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,irregulare
Site2,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,unclassified
Site3,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,occultum
Site5,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Parvocarpum,unclassified
Site5,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,etunicata
Site6,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Parvocarpum,unclassified
Site6,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,Entrophospora sp.
Site4,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,unclassified
Site4,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,Entrophospora sp.
Site5,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,unclassified
Site5,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,Glomerales sp.
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,irregulare
Site4,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,irregulare
Site4,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Glomeraceae,Glomus,unclassified
Site2,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,Entrophospora sp.
Site5,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,Entrophospora sp.
Site2,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,etunicata
Site3,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,Glomerales sp.
Site4,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,unclassified
Site4,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora sp.
Site6,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,irregulare
Site4,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,bareae
Site6,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Glomeraceae,Glomus,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Nanoglomus,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis sp.
Site3,Fungi,Glomeromycota,Glomeromycetes,Undetermined,Undetermined,NA,Glomeromycetes sp.
Site4,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,spurca
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen16,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora sp.
Site4,Fungi,Glomeromycota,Glomeromycetes,Undetermined,Undetermined,NA,Glomeromycetes sp.
Site5,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Glomeraceae,Glomus,unclassified
Site4,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Parvocarpum,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,intraradices
Site6,Fungi,Glomeromycota,Glomeromycetes,Undetermined,Undetermined,NA,Glomeromycetes sp.
Site3,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,Entrophospora sp.
Site2,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Sclerocarpum,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,etunicata
Site2,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,irregulare
Site6,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,unclassified
Site2,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora sp.
Site3,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,unclassified
Site2,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,unclassified
Site4,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unclassified,unclassified
Site6,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Entrophosporales,Entrophosporaceae,Entrophospora,lutea
Site4,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus,unclassified
Site3,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen21,unclassified
