amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
ITS2,F-R-350,13,Q350,D,3Burn_W6,3,GrandFir,NA,NA,F-R-350_S205_L001_R1_001.fastq.gz,F-R-350_S205_L001_R2_001.fastq.gz,1,4,16,1.5,5.0999999999999996,NA,9.6799999999999997E-2,0.24940000000000001,F-R-350
ITS2,F-R-351,13,Q351,D,0Burn_W2,0,Snowbrush,NA,NA,F-R-351_S203_L001_R1_001.fastq.gz,F-R-351_S203_L001_R2_001.fastq.gz,1,0,4,0.7,2.8,0,4.1500000000000002E-2,0.2437,F-R-351
ITS2,F-R-352,13,Q352,ND,1Burn_W4,1,Snowbrush,NA,NA,F-R-352_S215_L001_R1_001.fastq.gz,F-R-352_S215_L001_R2_001.fastq.gz,1,0,23,3.3,4.5,0,0.31359999999999999,0.30809999999999998,F-R-352
ITS2,F-R-353,13,Q353,ND,1Burn_W3,1,Snowbrush,NA,NA,F-R-353_S227_L001_R1_001.fastq.gz,F-R-353_S227_L001_R2_001.fastq.gz,1,0,1,0.8,4,0,3.9300000000000002E-2,NA,F-R-353
ITS2,F-R-354,13,Q354,ND,Sterile,NA,GrandFir,NA,NA,F-R-354_S338_L001_R1_001.fastq.gz,F-R-354_S338_L001_R2_001.fastq.gz,1,3,16,1.6,4.5,NA,9.0300000000000005E-2,0.14399999999999999,F-R-354
ITS2,F-R-355,13,Q355,ND,3Burn_W6,3,Snowbrush,NA,NA,F-R-355_S239_L001_R1_001.fastq.gz,F-R-355_S239_L001_R2_001.fastq.gz,1,0,2,0.6,5,0,3.5799999999999998E-2,NA,F-R-355
ITS2,F-R-356,13,Q356,D,3Burn_W6,3,Snowbrush,NA,NA,F-R-356_S251_L001_R1_001.fastq.gz,F-R-356_S251_L001_R2_001.fastq.gz,6,NA,NA,NA,NA,11,9.2399999999999996E-2,0.24229999999999999,F-R-356
ITS2,F-R-357,13,Q357,ND,1Burn_W3,1,GrandFir,NA,NA,F-R-357_S350_L001_R1_001.fastq.gz,F-R-357_S350_L001_R2_001.fastq.gz,1,1,0,0,3.5,NA,3.3300000000000003E-2,NA,F-R-357
ITS2,F-R-358,13,Q358,ND,3Burn_W6,3,GrandFir,NA,NA,F-R-358_S362_L001_R1_001.fastq.gz,F-R-358_S362_L001_R2_001.fastq.gz,1,3,31,2.5,6,NA,0.105,0.14410000000000001,F-R-358
ITS2,F-R-359,13,Q359,ND,Sterile,NA,Snowbrush,NA,NA,F-R-359_S263_L001_R1_001.fastq.gz,F-R-359_S263_L001_R2_001.fastq.gz,1,0,10,2,3.5,0,0.15210000000000001,0.29730000000000001,F-R-359
ITS2,F-R-360,13,Q360,D,0Burn_W1,0,Snowbrush,NA,NA,F-R-360_S275_L001_R1_001.fastq.gz,F-R-360_S275_L001_R2_001.fastq.gz,1,0,8,1.5,3.7,1,9.4600000000000004E-2,0.16400000000000001,F-R-360
ITS2,F-R-361,13,Q361,ND,0Burn_W1,0,Snowbrush,NA,NA,F-R-361_S287_L001_R1_001.fastq.gz,F-R-361_S287_L001_R2_001.fastq.gz,1,0,4,1,4,0,6.1800000000000001E-2,0.15290000000000001,F-R-361
ITS2,F-R-362,13,Q362,D,0Burn_W1,0,GrandFir,NA,NA,F-R-362_S374_L001_R1_001.fastq.gz,F-R-362_S374_L001_R2_001.fastq.gz,2,1,11,0.3,5,NA,5.9799999999999999E-2,0.2399,F-R-362
ITS2,F-R-363,13,Q363,D,1Burn_W4,1,GrandFir,NA,NA,F-R-363_S291_L001_R1_001.fastq.gz,F-R-363_S291_L001_R2_001.fastq.gz,1,1,0,0,2.8,NA,2.5899999999999999E-2,NA,F-R-363
ITS2,F-R-364,13,Q364,ND,3Burn_W5,3,Snowbrush,NA,NA,F-R-364_S204_L001_R1_001.fastq.gz,F-R-364_S204_L001_R2_001.fastq.gz,1,0,14,2.8,5,0,0.26860000000000001,0.38929999999999998,F-R-364
