amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay
ITS2,F-R-158,6,Q158,D,1Burn_W3,1,Snowbrush,NA,NA,F-R-158_S281_L001_R1_001.fastq.gz,F-R-158_S281_L001_R2_001.fastq.gz,1,0,4,1.1,3.9,0,0.0511,NA,F-R-158,3,1,1.7,4.966666666666667,7.333333333333333,61.666666666666664,11.333333333333334,0.07,5.183333333333334,6.366666666666667,0.4166666666666667,0.1,10.1,0.6666666666666666,15.333333333333334,2.033333333333333,0.3,0.04,0.099,27.188666666666666,82.8,16.8,0.4
ITS2,F-R-159,6,Q159,ND,0Burn_W1,0,GrandFir,NA,NA,F-R-159_S379_L001_R1_001.fastq.gz,F-R-159_S379_L001_R2_001.fastq.gz,1,4,23,1.7,5.8,NA,0.1112,0.3041,F-R-159,1,0,1.3666666666666667,10.066666666666666,10,108,12,0.03666666666666667,7.8933333333333335,5.966666666666667,0.09666666666666666,0.7333333333333334,26.299999999999997,0.5333333333333333,58,1.6666666666666667,0.39999999999999997,0.043333333333333335,0.179,26.332333333333334,80.8,18.8,0.4
ITS2,F-R-160,6,Q160,D,3Burn_W5,3,GrandFir,NA,NA,F-R-160_S296_L001_R1_001.fastq.gz,F-R-160_S296_L001_R2_001.fastq.gz,2,10,38,2.2,7.2,NA,0.2694,0.2617,F-R-160,5,3,14.533333333333333,7.166666666666667,7,82,4.333333333333333,0.15333333333333335,7.073333333333333,6.3,0.11333333333333333,0.8666666666666667,15.566666666666666,0.8333333333333334,23,4.966666666666667,0.5666666666666667,0.05,0.23933333333333334,17.466333333333335,86.8,10.8,2.4
ITS2,F-R-161,6,Q161,ND,1Burn_W3,1,GrandFir,NA,NA,F-R-161_S308_L001_R1_001.fastq.gz,F-R-161_S308_L001_R2_001.fastq.gz,1,2,14,1.4,4.5,NA,0.0455,0.1054,F-R-161,3,1,1.7,4.966666666666667,7.333333333333333,61.666666666666664,11.333333333333334,0.07,5.183333333333334,6.366666666666667,0.4166666666666667,0.1,10.1,0.6666666666666666,15.333333333333334,2.033333333333333,0.3,0.04,0.099,27.188666666666666,82.8,16.8,0.4
ITS2,F-R-162,6,Q162,ND,3Burn_W5,3,Snowbrush,NA,NA,F-R-162_S198_L001_R1_001.fastq.gz,F-R-162_S198_L001_R2_001.fastq.gz,1,0,27,3.2,9.4,35,1.1376,0.8776,F-R-162,5,3,14.533333333333333,7.166666666666667,7,82,4.333333333333333,0.15333333333333335,7.073333333333333,6.3,0.11333333333333333,0.8666666666666667,15.566666666666666,0.8333333333333334,23,4.966666666666667,0.5666666666666667,0.05,0.23933333333333334,17.466333333333335,86.8,10.8,2.4
ITS2,F-R-163,6,Q163,D,0Burn_W1,0,Snowbrush,NA,NA,F-R-163_S210_L001_R1_001.fastq.gz,F-R-163_S210_L001_R2_001.fastq.gz,6,0,11,2.2,5.4,0,0.1939,0.3131,F-R-163,1,0,1.3666666666666667,10.066666666666666,10,108,12,0.03666666666666667,7.8933333333333335,5.966666666666667,0.09666666666666666,0.7333333333333334,26.299999999999997,0.5333333333333333,58,1.6666666666666667,0.39999999999999997,0.043333333333333335,0.179,26.332333333333334,80.8,18.8,0.4
ITS2,F-R-164,6,Q164,ND,Sterile,NA,Snowbrush,NA,NA,F-R-164_S222_L001_R1_001.fastq.gz,F-R-164_S222_L001_R2_001.fastq.gz,1,0,9,1.6,3.9,0,0.1752,0.2053,F-R-164,Sterile,NA,2.45,19.099999999999998,6.166666666666667,52.833333333333336,8.5,0.04,4.825,5.733333333333333,0.11,0.25,63.28333333333333,0.5333333333333333,14.833333333333334,1.55,0.30000000000000004,0.06999999999999999,0.11033333333333334,25.63533333333333,88.8,10.8,0.4
ITS2,F-R-165,6,Q165,D,1Burn_W4,1,Snowbrush,NA,NA,F-R-165_S234_L001_R1_001.fastq.gz,F-R-165_S234_L001_R2_001.fastq.gz,6,0,21,2.1,3.6,1,0.3673,0.7657,F-R-165,4,1,4.166666666666667,10.433333333333334,8.333333333333334,72.33333333333333,9.666666666666666,0.05,5.976666666666667,6,0.03333333333333333,0.3333333333333333,12.2,0.7333333333333333,20.666666666666668,1.5,0.3333333333333333,0.05666666666666667,0.103,17.198333333333334,88.8,10.8,0.4
ITS2,F-R-166,6,Q166,D,0Burn_W2,0,GrandFir,NA,NA,F-R-166_S320_L001_R1_001.fastq.gz,F-R-166_S320_L001_R2_001.fastq.gz,1,7,31,1.7,4.7,NA,0.206,0.4899,F-R-166,2,0,1.3333333333333333,8.1,7.666666666666667,92.33333333333333,6,0.043333333333333335,6.406666666666667,6.166666666666667,0.08666666666666667,0.26666666666666666,16,0.43333333333333335,29,1.8333333333333333,0.3333333333333333,0.03666666666666667,0.16633333333333333,26.215666666666667,80.8,18.8,0.4
ITS2,F-R-167,6,Q167,ND,1Burn_W3,1,Snowbrush,NA,NA,F-R-167_S246_L001_R1_001.fastq.gz,F-R-167_S246_L001_R2_001.fastq.gz,1,0,9,2.5,3.1,0,0.1447,0.1777,F-R-167,3,1,1.7,4.966666666666667,7.333333333333333,61.666666666666664,11.333333333333334,0.07,5.183333333333334,6.366666666666667,0.4166666666666667,0.1,10.1,0.6666666666666666,15.333333333333334,2.033333333333333,0.3,0.04,0.099,27.188666666666666,82.8,16.8,0.4
