amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
16S,R-209,8,Q209,ND,1Burn_W4,1,Snowbrush,NA,NA,R-209_S55_L001_R1_001.fastq.gz,R-209_S55_L001_R2_001.fastq.gz,1,0,19,2.4,4,0,0.56289999999999996,0.99690000000000001,R-209
16S,R-210,8,Q210,D,0Burn_W1,0,Snowbrush,NA,NA,R-210_S67_L001_R1_001.fastq.gz,R-210_S67_L001_R2_001.fastq.gz,6,0,11,2,5,1,0.41220000000000001,0.49509999999999998,R-210
16S,R-211,8,Q211,ND,1Burn_W3,1,Snowbrush,NA,NA,R-211_S79_L001_R1_001.fastq.gz,R-211_S79_L001_R2_001.fastq.gz,1,0,17,3,5,0,0.29380000000000001,0.56969999999999998,R-211
16S,R-212,8,Q212,D,3Burn_W6,3,GrandFir,NA,NA,R-212_S117_L001_R1_001.fastq.gz,R-212_S117_L001_R2_001.fastq.gz,1,6,52,2.1,5.9,NA,0.16639999999999999,0.25580000000000003,R-212
16S,R-213,8,Q213,ND,3Burn_W5,3,GrandFir,NA,NA,R-213_S129_L001_R1_001.fastq.gz,R-213_S129_L001_R2_001.fastq.gz,1,3,23,1.5,4,NA,8.1100000000000005E-2,0.18890000000000001,R-213
16S,R-214,8,Q214,D,1Burn_W4,1,Snowbrush,NA,NA,R-214_S91_L001_R1_001.fastq.gz,R-214_S91_L001_R2_001.fastq.gz,6,0,19,2.2000000000000002,4.9000000000000004,0,0.38379999999999997,0.74529999999999996,R-214
16S,R-215,8,Q215,D,0Burn_W2,0,GrandFir,NA,NA,R-215_S141_L001_R1_001.fastq.gz,R-215_S141_L001_R2_001.fastq.gz,1,6,93,1.6,5.4,NA,0.26929999999999998,0.37669999999999998,R-215
16S,R-216,8,Q216,ND,0Burn_W2,0,Snowbrush,NA,NA,R-216_S8_L001_R1_001.fastq.gz,R-216_S8_L001_R2_001.fastq.gz,1,0,23,3,4.5,7,0.7712,1.9710000000000001,R-216
16S,R-217,8,Q217,D,1Burn_W4,1,GrandFir,NA,NA,R-217_S153_L001_R1_001.fastq.gz,R-217_S153_L001_R2_001.fastq.gz,1,1,42,1.8,7.5,NA,0.18290000000000001,0.24510000000000001,R-217
16S,R-218,8,Q218,D,3Burn_W5,3,GrandFir,NA,NA,R-218_S165_L001_R1_001.fastq.gz,R-218_S165_L001_R2_001.fastq.gz,1,8,34,3.2,8.4,NA,0.30919999999999997,0.58950000000000002,R-218
16S,R-219,8,Q219,ND,1Burn_W3,1,GrandFir,NA,NA,R-219_S177_L001_R1_001.fastq.gz,R-219_S177_L001_R2_001.fastq.gz,1,1,6,0.8,5.3,NA,7.2300000000000003E-2,0.1012,R-219
16S,R-220,8,Q220,ND,3Burn_W6,3,Snowbrush,NA,NA,R-220_S20_L001_R1_001.fastq.gz,R-220_S20_L001_R2_001.fastq.gz,1,0,11,1.3,4,38,0.17979999999999999,0.49109999999999998,R-220
16S,R-221,8,Q221,D,3Burn_W5,3,Snowbrush,NA,NA,R-221_S32_L001_R1_001.fastq.gz,R-221_S32_L001_R2_001.fastq.gz,1,0,18,2.2000000000000002,5,15,0.23669999999999999,0.46949999999999997,R-221
16S,R-222,8,Q222,D,Sterile,NA,GrandFir,NA,NA,R-222_S189_L001_R1_001.fastq.gz,R-222_S189_L001_R2_001.fastq.gz,1,4,32,1.9,5.6,NA,0.13489999999999999,0.28720000000000001,R-222
16S,R-223,8,Q223,ND,1Burn_W4,1,GrandFir,NA,NA,R-223_S106_L001_R1_001.fastq.gz,R-223_S106_L001_R2_001.fastq.gz,1,5,35,2.7,6.3,NA,0.25359999999999999,0.68479999999999996,R-223
16S,R-224,8,Q224,ND,Sterile,NA,GrandFir,NA,NA,R-224_S118_L001_R1_001.fastq.gz,R-224_S118_L001_R2_001.fastq.gz,1,6,37,1.9,5.4,NA,0.15959999999999999,0.29959999999999998,R-224
16S,R-281,11,Q281,ND,3Burn_W5,3,Snowbrush,NA,NA,R-281_S56_L001_R1_001.fastq.gz,R-281_S56_L001_R2_001.fastq.gz,1,0,20,3,4.9000000000000004,13,0.64490000000000003,1.4487000000000001,R-281
16S,R-282,11,Q282,ND,1Burn_W3,1,GrandFir,NA,NA,R-282_S130_L001_R1_001.fastq.gz,R-282_S130_L001_R2_001.fastq.gz,1,1,3,0.8,4,NA,4.2299999999999997E-2,0.15459999999999999,R-282
16S,R-283,11,Q283,ND,0Burn_W1,0,Snowbrush,NA,NA,R-283_S68_L001_R1_001.fastq.gz,R-283_S68_L001_R2_001.fastq.gz,1,0,22,2.6,6.5,1,0.46250000000000002,1.0323,R-283
16S,R-284,11,Q284,D,3Burn_W5,3,Snowbrush,NA,NA,R-284_S80_L001_R1_001.fastq.gz,R-284_S80_L001_R2_001.fastq.gz,6,0,26,2.2000000000000002,5.5,0,0.5958,0.66930000000000001,R-284
16S,R-285,11,Q285,D,3Burn_W5,3,GrandFir,NA,NA,R-285_S142_L001_R1_001.fastq.gz,R-285_S142_L001_R2_001.fastq.gz,1,2,22,2.1,4,NA,0.1187,0.42559999999999998,R-285
16S,R-286,11,Q286,D,Sterile,NA,GrandFir,NA,NA,R-286_S154_L001_R1_001.fastq.gz,R-286_S154_L001_R2_001.fastq.gz,1,1,21,1,4.5,NA,5.3600000000000002E-2,0.1376,R-286
16S,R-287,11,Q287,D,3Burn_W6,3,GrandFir,NA,NA,R-287_S166_L001_R1_001.fastq.gz,R-287_S166_L001_R2_001.fastq.gz,5,1,3,0.9,4.5,NA,0.03,NA,R-287
16S,R-288,11,Q288,ND,3Burn_W6,3,GrandFir,NA,NA,R-288_S178_L001_R1_001.fastq.gz,R-288_S178_L001_R2_001.fastq.gz,1,3,21,1.6,5.3,NA,7.8200000000000006E-2,0.21929999999999999,R-288
16S,R-289,11,Q289,ND,Sterile,NA,GrandFir,NA,NA,R-289_S190_L001_R1_001.fastq.gz,R-289_S190_L001_R2_001.fastq.gz,1,3,18,1.2,4.9000000000000004,NA,5.2600000000000001E-2,NA,R-289
16S,R-290,11,Q290,D,0Burn_W1,0,GrandFir,NA,NA,R-290_S107_L001_R1_001.fastq.gz,R-290_S107_L001_R2_001.fastq.gz,1,3,12,0.4,7.7,NA,8.7099999999999997E-2,0.21779999999999999,R-290
16S,R-291,11,Q291,ND,1Burn_W4,1,GrandFir,NA,NA,R-291_S119_L001_R1_001.fastq.gz,R-291_S119_L001_R2_001.fastq.gz,1,7,59,3.2,6,NA,0.36120000000000002,0.83589999999999998,R-291
16S,R-292,11,Q292,D,0Burn_W1,0,Snowbrush,NA,NA,R-292_S9_L001_R1_001.fastq.gz,R-292_S9_L001_R2_001.fastq.gz,1,0,5,1.2,3.6,0,8.9200000000000002E-2,0.1842,R-292
16S,R-293,11,Q293,D,Sterile,NA,Snowbrush,NA,NA,R-293_S21_L001_R1_001.fastq.gz,R-293_S21_L001_R2_001.fastq.gz,4,0,11,2.2999999999999998,3.5,0,0.27239999999999998,0.49,R-293
16S,R-294,11,Q294,D,3Burn_W6,3,Snowbrush,NA,NA,R-294_S33_L001_R1_001.fastq.gz,R-294_S33_L001_R2_001.fastq.gz,6,0,11,1.7,4,13,0.20979999999999999,0.49270000000000003,R-294
16S,R-295,11,Q295,ND,0Burn_W2,0,Snowbrush,NA,NA,R-295_S45_L001_R1_001.fastq.gz,R-295_S45_L001_R2_001.fastq.gz,1,0,19,2.2999999999999998,6.8,3,0.4209,0.90910000000000002,R-295
16S,R-296,11,Q296,D,1Burn_W4,1,Snowbrush,NA,NA,R-296_S57_L001_R1_001.fastq.gz,R-296_S57_L001_R2_001.fastq.gz,6,0,19,2,5,0,0.37730000000000002,0.58589999999999998,R-296
16S,R-297,11,Q297,D,0Burn_W2,0,Snowbrush,NA,NA,R-297_S69_L001_R1_001.fastq.gz,R-297_S69_L001_R2_001.fastq.gz,1,0,12,2.5,4.5999999999999996,3,0.3352,0.63849999999999996,R-297
16S,R-298,11,Q298,ND,1Burn_W4,1,Snowbrush,NA,NA,R-298_S81_L001_R1_001.fastq.gz,R-298_S81_L001_R2_001.fastq.gz,1,0,19,2.4,4.5,3,0.48130000000000001,1.3599000000000001,R-298
16S,R-299,11,Q299,D,1Burn_W4,1,GrandFir,NA,NA,R-299_S131_L001_R1_001.fastq.gz,R-299_S131_L001_R2_001.fastq.gz,1,3,18,0.6,5.5,NA,0.1179,0.1643,R-299
16S,R-300,11,Q300,ND,3Burn_W5,3,GrandFir,NA,NA,R-300_S143_L001_R1_001.fastq.gz,R-300_S143_L001_R2_001.fastq.gz,1,5,20,1.3,5.8,NA,0.10580000000000001,0.1709,R-300
16S,R-301,11,Q301,ND,0Burn_W1,0,GrandFir,NA,NA,R-301_S155_L001_R1_001.fastq.gz,R-301_S155_L001_R2_001.fastq.gz,1,1,20,1.5,5.3,NA,5.7099999999999998E-2,NA,R-301
16S,R-302,11,Q302,D,0Burn_W2,0,GrandFir,NA,NA,R-302_S167_L001_R1_001.fastq.gz,R-302_S167_L001_R2_001.fastq.gz,1,2,23,1.3,5,NA,9.7799999999999998E-2,0.24610000000000001,R-302
16S,R-303,11,Q303,ND,3Burn_W6,3,Snowbrush,NA,NA,R-303_S93_L001_R1_001.fastq.gz,R-303_S93_L001_R2_001.fastq.gz,1,0,22,3.3,5.8,21,0.79349999999999998,1.2266999999999999,R-303
16S,R-304,11,Q304,D,1Burn_W3,1,Snowbrush,NA,NA,R-304_S10_L001_R1_001.fastq.gz,R-304_S10_L001_R2_001.fastq.gz,3,0,2,0.6,2.5,0,2.3300000000000001E-2,NA,R-304
16S,R-305,11,Q305,ND,Sterile,NA,Snowbrush,NA,NA,R-305_S22_L001_R1_001.fastq.gz,R-305_S22_L001_R2_001.fastq.gz,1,0,13,2.4,4.9000000000000004,0,0.2331,0.50819999999999999,R-305
16S,R-306,11,Q306,ND,1Burn_W3,1,Snowbrush,NA,NA,R-306_S34_L001_R1_001.fastq.gz,R-306_S34_L001_R2_001.fastq.gz,1,0,3,1,3.2,0,5.2400000000000002E-2,0.1605,R-306
16S,R-307,11,Q307,ND,0Burn_W2,0,GrandFir,NA,NA,R-307_S179_L001_R1_001.fastq.gz,R-307_S179_L001_R2_001.fastq.gz,1,4,24,1.5,5.5,NA,0.1164,0.2064,R-307
16S,R-308,11,Q308,D,1Burn_W3,1,GrandFir,NA,NA,R-308_S191_L001_R1_001.fastq.gz,R-308_S191_L001_R2_001.fastq.gz,1,2,8,1.5,4.5,NA,6.1499999999999999E-2,0.14660000000000001,R-308
16S,R-337,13,Q337,D,Sterile,NA,Snowbrush,NA,NA,R-337_S46_L001_R1_001.fastq.gz,R-337_S46_L001_R2_001.fastq.gz,1,0,10,2.5,5,0,0.20039999999999999,0.57010000000000005,R-337
16S,R-338,13,Q338,ND,3Burn_W5,3,GrandFir,NA,NA,R-338_S108_L001_R1_001.fastq.gz,R-338_S108_L001_R2_001.fastq.gz,1,3,19,0.7,4.3,NA,6.4899999999999999E-2,0.12089999999999999,R-338
16S,R-339,13,Q339,ND,0Burn_W2,0,GrandFir,NA,NA,R-339_S120_L001_R1_001.fastq.gz,R-339_S120_L001_R2_001.fastq.gz,1,2,18,0.7,3.9,NA,5.91E-2,0.1191,R-339
16S,R-340,13,Q340,ND,0Burn_W1,0,GrandFir,NA,NA,R-340_S132_L001_R1_001.fastq.gz,R-340_S132_L001_R2_001.fastq.gz,1,3,12,1.8,4.3,NA,0.1439,0.1966,R-340
16S,R-341,13,Q341,D,3Burn_W5,3,GrandFir,NA,NA,R-341_S144_L001_R1_001.fastq.gz,R-341_S144_L001_R2_001.fastq.gz,1,4,23,1.1000000000000001,4.5,NA,6.2199999999999998E-2,0.1837,R-341
16S,R-342,13,Q342,D,Sterile,NA,GrandFir,NA,NA,R-342_S156_L001_R1_001.fastq.gz,R-342_S156_L001_R2_001.fastq.gz,1,2,9,0.3,2.4,NA,2.1399999999999999E-2,NA,R-342
16S,R-343,13,Q343,D,1Burn_W4,1,Snowbrush,NA,NA,R-343_S58_L001_R1_001.fastq.gz,R-343_S58_L001_R2_001.fastq.gz,2,0,13,2.2000000000000002,4.2,0,0.22850000000000001,0.4425,R-343
16S,R-344,13,Q344,D,1Burn_W3,1,Snowbrush,NA,NA,R-344_S70_L001_R1_001.fastq.gz,R-344_S70_L001_R2_001.fastq.gz,2,0,8,2,4.5,NA,0.1231,0.23069999999999999,R-344
16S,R-345,13,Q345,D,1Burn_W3,1,GrandFir,NA,NA,R-345_S168_L001_R1_001.fastq.gz,R-345_S168_L001_R2_001.fastq.gz,1,1,6,0.5,5.5,NA,7.1599999999999997E-2,0.16209999999999999,R-345
16S,R-346,13,Q346,D,3Burn_W5,3,Snowbrush,NA,NA,R-346_S82_L001_R1_001.fastq.gz,R-346_S82_L001_R2_001.fastq.gz,5,0,10,2.6,5.2,0,0.26850000000000002,0.67949999999999999,R-346
16S,R-347,13,Q347,D,0Burn_W2,0,GrandFir,NA,NA,R-347_S180_L001_R1_001.fastq.gz,R-347_S180_L001_R2_001.fastq.gz,1,2,27,1.3,4.3,NA,9.1300000000000006E-2,0.22450000000000001,R-347
16S,R-348,13,Q348,ND,1Burn_W4,1,GrandFir,NA,NA,R-348_S1_L001_R1_001.fastq.gz,R-348_S1_L001_R2_001.fastq.gz,1,4,23,1.5,5.8,NA,0.17680000000000001,0.29070000000000001,R-348
16S,R-349,13,Q349,ND,0Burn_W2,0,Snowbrush,NA,NA,R-349_S94_L001_R1_001.fastq.gz,R-349_S94_L001_R2_001.fastq.gz,1,0,17,3,6.4,7,0.4471,0.97929999999999995,R-349
16S,R-350,13,Q350,D,3Burn_W6,3,GrandFir,NA,NA,R-350_S13_L001_R1_001.fastq.gz,R-350_S13_L001_R2_001.fastq.gz,1,4,16,1.5,5.0999999999999996,NA,9.6799999999999997E-2,0.24940000000000001,R-350
16S,R-351,13,Q351,D,0Burn_W2,0,Snowbrush,NA,NA,R-351_S11_L001_R1_001.fastq.gz,R-351_S11_L001_R2_001.fastq.gz,1,0,4,0.7,2.8,0,4.1500000000000002E-2,0.2437,R-351
16S,R-352,13,Q352,ND,1Burn_W4,1,Snowbrush,NA,NA,R-352_S23_L001_R1_001.fastq.gz,R-352_S23_L001_R2_001.fastq.gz,1,0,23,3.3,4.5,0,0.31359999999999999,0.30809999999999998,R-352
16S,R-353,13,Q353,ND,1Burn_W3,1,Snowbrush,NA,NA,R-353_S35_L001_R1_001.fastq.gz,R-353_S35_L001_R2_001.fastq.gz,1,0,1,0.8,4,0,3.9300000000000002E-2,NA,R-353
16S,R-354,13,Q354,ND,Sterile,NA,GrandFir,NA,NA,R-354_S146_L001_R1_001.fastq.gz,R-354_S146_L001_R2_001.fastq.gz,1,3,16,1.6,4.5,NA,9.0300000000000005E-2,0.14399999999999999,R-354
16S,R-355,13,Q355,ND,3Burn_W6,3,Snowbrush,NA,NA,R-355_S47_L001_R1_001.fastq.gz,R-355_S47_L001_R2_001.fastq.gz,1,0,2,0.6,5,0,3.5799999999999998E-2,NA,R-355
16S,R-356,13,Q356,D,3Burn_W6,3,Snowbrush,NA,NA,R-356_S59_L001_R1_001.fastq.gz,R-356_S59_L001_R2_001.fastq.gz,6,NA,NA,NA,NA,11,9.2399999999999996E-2,0.24229999999999999,R-356
16S,R-357,13,Q357,ND,1Burn_W3,1,GrandFir,NA,NA,R-357_S158_L001_R1_001.fastq.gz,R-357_S158_L001_R2_001.fastq.gz,1,1,0,0,3.5,NA,3.3300000000000003E-2,NA,R-357
16S,R-358,13,Q358,ND,3Burn_W6,3,GrandFir,NA,NA,R-358_S170_L001_R1_001.fastq.gz,R-358_S170_L001_R2_001.fastq.gz,1,3,31,2.5,6,NA,0.105,0.14410000000000001,R-358
16S,R-359,13,Q359,ND,Sterile,NA,Snowbrush,NA,NA,R-359_S71_L001_R1_001.fastq.gz,R-359_S71_L001_R2_001.fastq.gz,1,0,10,2,3.5,0,0.15210000000000001,0.29730000000000001,R-359
16S,R-360,13,Q360,D,0Burn_W1,0,Snowbrush,NA,NA,R-360_S83_L001_R1_001.fastq.gz,R-360_S83_L001_R2_001.fastq.gz,1,0,8,1.5,3.7,1,9.4600000000000004E-2,0.16400000000000001,R-360
16S,R-361,13,Q361,ND,0Burn_W1,0,Snowbrush,NA,NA,R-361_S95_L001_R1_001.fastq.gz,R-361_S95_L001_R2_001.fastq.gz,1,0,4,1,4,0,6.1800000000000001E-2,0.15290000000000001,R-361
16S,R-362,13,Q362,D,0Burn_W1,0,GrandFir,NA,NA,R-362_S182_L001_R1_001.fastq.gz,R-362_S182_L001_R2_001.fastq.gz,2,1,11,0.3,5,NA,5.9799999999999999E-2,0.2399,R-362
16S,R-363,13,Q363,D,1Burn_W4,1,GrandFir,NA,NA,R-363_S99_L001_R1_001.fastq.gz,R-363_S99_L001_R2_001.fastq.gz,1,1,0,0,2.8,NA,2.5899999999999999E-2,NA,R-363
16S,R-364,13,Q364,ND,3Burn_W5,3,Snowbrush,NA,NA,R-364_S12_L001_R1_001.fastq.gz,R-364_S12_L001_R2_001.fastq.gz,1,0,14,2.8,5,0,0.26860000000000001,0.38929999999999998,R-364
